物件名,アドレス,最寄り,築年/階,階,賃料/管理費,敷金/礼金,間取り/専有面積
mar azul(マール　アスール）,千葉県柏市あけぼの４,"ＪＲ常磐線/柏駅 歩7分
東武野田線/豊四季駅 歩43分
ＪＲ常磐線/北柏駅 歩30分
","
築7年
2階建
","
											2階","1. 賃料: 6.1万円
1. 管理費: 3000円
","1. 敷金: 6.1万円
1. 礼金: -
","1. 1DK
1. 24.76m2
"
ＪＲ常磐線 柏駅 8階建 築9年,千葉県柏市柏３,"ＪＲ常磐線/柏駅 歩6分
ＪＲ常磐線/北柏駅 歩27分
東武野田線/新柏駅 車16分(3.9km)
","
築9年
8階建
","
											8階","1. 賃料: 12.9万円
1. 管理費: 5000円
2. 賃料: 15万円
2. 管理費: 5000円
3. 賃料: 16万円
3. 管理費: 5000円
","1. 敷金: 12.9万円
1. 礼金: 12.9万円
2. 敷金: 15万円
2. 礼金: 15万円
3. 敷金: 16万円
3. 礼金: 16万円
","1. 1LDK
1. 44.51m2
2. 1LDK
2. 44.45m2
3. 1LDK
3. 44.45m2
"
リブリ・Plumeria柏,千葉県柏市旭町３,"ＪＲ常磐線/柏駅 歩7分
東武野田線/豊四季駅 車7分(2.6km)
ＪＲ常磐線/南柏駅 車8分(2.8km)
","
築7年
3階建
","
											2階","1. 賃料: 6万円
1. 管理費: 4000円
","1. 敷金: -
1. 礼金: 4.5万円
","1. 1K
1. 22.35m2
"
ＪＲ常磐線 柏駅 4階建 築10年,千葉県柏市柏５,"ＪＲ常磐線/柏駅 歩8分
ＪＲ常磐線/北柏駅 歩25分
None
","
築10年
4階建
","
											2階","1. 賃料: 8.7万円
1. 管理費: 5000円
2. 賃料: 8.8万円
2. 管理費: 5000円
","1. 敷金: 8.7万円
1. 礼金: -
2. 敷金: 8.8万円
2. 礼金: -
","1. 1LDK
1. 31.39m2
2. 1LDK
2. 31.39m2
"
アーク柏レジデンス,千葉県柏市柏３,"ＪＲ常磐線/柏駅 歩6分
東武野田線/柏駅 歩6分
つくばエクスプレス/柏の葉キャンパス駅 バス20分 (バス停)柏駅西口 歩7分
","
築9年
8階建
","
											8階","1. 賃料: 12.9万円
1. 管理費: 5000円
2. 賃料: 15万円
2. 管理費: 5000円
3. 賃料: 16万円
3. 管理費: 5000円
","1. 敷金: 12.9万円
1. 礼金: 12.9万円
2. 敷金: 15万円
2. 礼金: 15万円
3. 敷金: 16万円
3. 礼金: 16万円
","1. 1LDK
1. 44.51m2
2. 1LDK
2. 44.45m2
3. 2LDK
3. 44.45m2
"
ミルーナヒルズ柏,千葉県柏市あけぼの４,"ＪＲ常磐線/柏駅 歩12分
ＪＲ常磐線/北柏駅 歩34分
東武野田線/豊四季駅 歩40分
","
築3年
7階建
","
											6階","1. 賃料: 11.6万円
1. 管理費: 10000円
","1. 敷金: 11.6万円
1. 礼金: 11.6万円
","1. 1LDK
1. 40.54m2
"
Ｇｌｕｃｋ　ＫＡＳＨＩＷＡ,千葉県柏市あけぼの３,"ＪＲ常磐線/柏駅 歩11分
ＪＲ常磐線/北柏駅 歩21分
ＪＲ常磐線/南柏駅 歩42分
","
築4年
2階建
","
											1階","1. 賃料: 7.8万円
1. 管理費: 3000円
","1. 敷金: -
1. 礼金: 7.8万円
","1. 1LDK
1. 38.87m2
"
コンフォルト,千葉県柏市あけぼの４,"ＪＲ常磐線/柏駅 歩7分
ＪＲ常磐線/北柏駅 車6分(2.2km)
東武野田線/豊四季駅 車14分(3.3km)
","
築6年
2階建
","
											2階","1. 賃料: 6.8万円
1. 管理費: -
2. 賃料: 6.8万円
2. 管理費: -
3. 賃料: 6.9万円
3. 管理費: -
4. 賃料: 7万円
4. 管理費: -
5. 賃料: 6.8万円
5. 管理費: 3000円
6. 賃料: 6.9万円
6. 管理費: 3000円
","1. 敷金: -
1. 礼金: -
2. 敷金: -
2. 礼金: -
3. 敷金: -
3. 礼金: -
4. 敷金: -
4. 礼金: -
5. 敷金: 6.8万円
5. 礼金: 6.8万円
6. 敷金: -
6. 礼金: -
","1. 1DK
1. 28.98m2
2. 1DK
2. 28.98m2
3. 1DK
3. 26.91m2
4. 1DK
4. 26.91m2
5. ワンルーム
5. 26.91m2
6. 1DK
6. 26.91m2
"
ＪＲ常磐線 柏駅 6階建 築8年,千葉県柏市柏３,"ＪＲ常磐線/柏駅 歩5分
ＪＲ常磐線/北柏駅 歩30分
東武野田線/新柏駅 歩39分
","
築8年
6階建
","
											5階","1. 賃料: 7万円
1. 管理費: 4000円
2. 賃料: 7.1万円
2. 管理費: 4000円
","1. 敷金: -
1. 礼金: 7万円
2. 敷金: -
2. 礼金: 7.1万円
","1. 1K
1. 26.46m2
2. 1K
2. 26.46m2
"
ＪＲ常磐線 柏駅 2階建 築7年,千葉県柏市あけぼの４,"ＪＲ常磐線/柏駅 歩7分
東武野田線/柏駅 歩7分
ＪＲ常磐線/北柏駅 歩30分
","
築7年
2階建
","
											2階","1. 賃料: 6.1万円
1. 管理費: 3000円
","1. 敷金: 6.1万円
1. 礼金: -
","1. 1DK
1. 24.76m2
"
リブリ・サンモール柏,千葉県柏市あけぼの２,"ＪＲ常磐線/柏駅 歩7分
ＪＲ常磐線/北柏駅 歩25分
ＪＲ常磐線/南柏駅 歩32分
","
築6年
3階建
","
											1階","1. 賃料: 6.3万円
1. 管理費: 4000円
","1. 敷金: -
1. 礼金: 6.3万円
","1. 1K
1. 26.08m2
"
ルミエール柏,千葉県柏市柏,"ＪＲ常磐線/北柏駅 歩12分
ＪＲ常磐線/柏駅 歩27分
ＪＲ常磐線/我孫子駅 歩42分
","
築4年
2階建
","
											1階","1. 賃料: 3.9万円
1. 管理費: 5000円
","1. 敷金: -
1. 礼金: -
","1. 1K
1. 20.01m2
"
Ｒｏｏｍ328,千葉県柏市柏５,"ＪＲ常磐線/柏駅 歩5分
東武野田線/柏駅 歩5分
ＪＲ常磐線/北柏駅 歩25分
","
築10年
4階建
","
											2階","1. 賃料: 8.7万円
1. 管理費: 5000円
2. 賃料: 8.8万円
2. 管理費: 5000円
","1. 敷金: 8.7万円
1. 礼金: -
2. 敷金: 8.8万円
2. 礼金: -
","1. 1LDK
1. 31.39m2
2. 1LDK
2. 31.39m2
"
ＪＲ常磐線 柏駅 3階建 築7年,千葉県柏市旭町３,"ＪＲ常磐線/柏駅 歩7分
None
None
","
築7年
3階建
","
											2階","1. 賃料: 6万円
1. 管理費: 4000円
","1. 敷金: -
1. 礼金: 4.5万円
","1. 1K
1. 22.35m2
"
ＪＲ常磐線 柏駅 4階建 新築,千葉県柏市旭町２,"ＪＲ常磐線/柏駅 歩13分
ＪＲ常磐線/南柏駅 歩23分
None
","
新築
4階建
","
											3階","1. 賃料: 7.3万円
1. 管理費: 4000円
2. 賃料: 7.3万円
2. 管理費: 4000円
3. 賃料: 7.4万円
3. 管理費: 4000円
4. 賃料: 7.4万円
4. 管理費: 4000円
5. 賃料: 7.4万円
5. 管理費: 4000円
6. 賃料: 7.4万円
6. 管理費: 4000円
7. 賃料: 7.5万円
7. 管理費: 4000円
8. 賃料: 7.5万円
8. 管理費: 4000円
9. 賃料: 7.6万円
9. 管理費: 4000円
10. 賃料: 7.6万円
10. 管理費: 4000円
11. 賃料: 7.6万円
11. 管理費: 4000円
12. 賃料: 7.7万円
12. 管理費: 4000円
13. 賃料: 7.7万円
13. 管理費: 4000円
14. 賃料: 7.8万円
14. 管理費: 4000円
15. 賃料: 7.8万円
15. 管理費: 4000円
16. 賃料: 7.9万円
16. 管理費: 4000円
17. 賃料: 7.9万円
17. 管理費: 4000円
18. 賃料: 8万円
18. 管理費: 4000円
19. 賃料: 8万円
19. 管理費: 4000円
20. 賃料: 8万円
20. 管理費: 4000円
21. 賃料: 8.1万円
21. 管理費: 4000円
22. 賃料: 8.1万円
22. 管理費: 4000円
23. 賃料: 8.2万円
23. 管理費: 4000円
24. 賃料: 8.2万円
24. 管理費: 4000円
25. 賃料: 8.2万円
25. 管理費: 4000円
26. 賃料: 8.2万円
26. 管理費: 4000円
","1. 敷金: 7.3万円
1. 礼金: 7.3万円
2. 敷金: 7.3万円
2. 礼金: 7.3万円
3. 敷金: 7.4万円
3. 礼金: 7.4万円
4. 敷金: 7.4万円
4. 礼金: 7.4万円
5. 敷金: 7.4万円
5. 礼金: 7.4万円
6. 敷金: 7.4万円
6. 礼金: 7.4万円
7. 敷金: 7.5万円
7. 礼金: 7.5万円
8. 敷金: 7.5万円
8. 礼金: 7.5万円
9. 敷金: 7.6万円
9. 礼金: 7.6万円
10. 敷金: 7.6万円
10. 礼金: 7.6万円
11. 敷金: 7.6万円
11. 礼金: 7.6万円
12. 敷金: 7.7万円
12. 礼金: 7.7万円
13. 敷金: 7.7万円
13. 礼金: 7.7万円
14. 敷金: 7.8万円
14. 礼金: 7.8万円
15. 敷金: 7.8万円
15. 礼金: 7.8万円
16. 敷金: 7.9万円
16. 礼金: 7.9万円
17. 敷金: 7.9万円
17. 礼金: 7.9万円
18. 敷金: 8万円
18. 礼金: 8万円
19. 敷金: 8万円
19. 礼金: 8万円
20. 敷金: 8万円
20. 礼金: 8万円
21. 敷金: 8.1万円
21. 礼金: 8.1万円
22. 敷金: 8.1万円
22. 礼金: 8.1万円
23. 敷金: 8.2万円
23. 礼金: 8.2万円
24. 敷金: 8.2万円
24. 礼金: 8.2万円
25. 敷金: 8.2万円
25. 礼金: 8.2万円
26. 敷金: 8.2万円
26. 礼金: 8.2万円
","1. 1LDK
1. 30.28m2
2. 1LDK
2. 27.73m2
3. 1LDK
3. 30.11m2
4. 1LDK
4. 30.11m2
5. 1LDK
5. 27.73m2
6. 1LDK
6. 27.42m2
7. 1LDK
7. 27.73m2
8. 1LDK
8. 27.42m2
9. 1LDK
9. 30.11m2
10. 1LDK
10. 30.11m2
11. 1LDK
11. 27.42m2
12. 1LDK
12. 30.11m2
13. 1LDK
13. 30.11m2
14. 1LDK
14. 30.11m2
15. 1LDK
15. 30.11m2
16. 1LDK
16. 33.91m2
17. 1LDK
17. 32.6m2
18. 1LDK
18. 33.91m2
19. 1LDK
19. 32.6m2
20. 1LDK
20. 31.9m2
21. 1LDK
21. 33.91m2
22. 1LDK
22. 32.6m2
23. 1LDK
23. 33.91m2
24. 1LDK
24. 32.6m2
25. 1LDK
25. 31.9m2
26. 1LDK
26. 31.9m2
"
アルカンシエル柏,千葉県柏市旭町２,"ＪＲ常磐線/柏駅 歩13分
ＪＲ常磐線/南柏駅 歩23分
None
","
新築
4階建
","
											3階","1. 賃料: 7.3万円
1. 管理費: 4000円
2. 賃料: 7.3万円
2. 管理費: 4000円
3. 賃料: 7.4万円
3. 管理費: 4000円
4. 賃料: 7.4万円
4. 管理費: 4000円
5. 賃料: 7.4万円
5. 管理費: 4000円
6. 賃料: 7.4万円
6. 管理費: 4000円
7. 賃料: 7.5万円
7. 管理費: 4000円
8. 賃料: 7.5万円
8. 管理費: 4000円
9. 賃料: 7.6万円
9. 管理費: 4000円
10. 賃料: 7.6万円
10. 管理費: 4000円
11. 賃料: 7.6万円
11. 管理費: 4000円
12. 賃料: 7.7万円
12. 管理費: 4000円
13. 賃料: 7.7万円
13. 管理費: 4000円
14. 賃料: 7.8万円
14. 管理費: 4000円
15. 賃料: 7.8万円
15. 管理費: 4000円
16. 賃料: 7.9万円
16. 管理費: 4000円
17. 賃料: 7.9万円
17. 管理費: 4000円
18. 賃料: 8万円
18. 管理費: 4000円
19. 賃料: 8万円
19. 管理費: 4000円
20. 賃料: 8万円
20. 管理費: 4000円
21. 賃料: 8.1万円
21. 管理費: 4000円
22. 賃料: 8.1万円
22. 管理費: 4000円
23. 賃料: 8.2万円
23. 管理費: 4000円
24. 賃料: 8.2万円
24. 管理費: 4000円
25. 賃料: 8.2万円
25. 管理費: 4000円
26. 賃料: 8.2万円
26. 管理費: 4000円
","1. 敷金: 7.3万円
1. 礼金: 7.3万円
2. 敷金: 7.3万円
2. 礼金: 7.3万円
3. 敷金: 7.4万円
3. 礼金: 7.4万円
4. 敷金: 7.4万円
4. 礼金: 7.4万円
5. 敷金: 7.4万円
5. 礼金: 7.4万円
6. 敷金: 7.4万円
6. 礼金: 7.4万円
7. 敷金: 7.5万円
7. 礼金: 7.5万円
8. 敷金: 7.5万円
8. 礼金: 7.5万円
9. 敷金: 7.6万円
9. 礼金: 7.6万円
10. 敷金: 7.6万円
10. 礼金: 7.6万円
11. 敷金: 7.6万円
11. 礼金: 7.6万円
12. 敷金: 7.7万円
12. 礼金: 7.7万円
13. 敷金: 7.7万円
13. 礼金: 7.7万円
14. 敷金: 7.8万円
14. 礼金: 7.8万円
15. 敷金: 7.8万円
15. 礼金: 7.8万円
16. 敷金: 7.9万円
16. 礼金: 7.9万円
17. 敷金: 7.9万円
17. 礼金: 7.9万円
18. 敷金: 8万円
18. 礼金: 8万円
19. 敷金: 8万円
19. 礼金: 8万円
20. 敷金: 8万円
20. 礼金: 8万円
21. 敷金: 8.1万円
21. 礼金: 8.1万円
22. 敷金: 8.1万円
22. 礼金: 8.1万円
23. 敷金: 8.2万円
23. 礼金: 8.2万円
24. 敷金: 8.2万円
24. 礼金: 8.2万円
25. 敷金: 8.2万円
25. 礼金: 8.2万円
26. 敷金: 8.2万円
26. 礼金: 8.2万円
","1. 1LDK
1. 30.28m2
2. 1LDK
2. 27.73m2
3. 1LDK
3. 30.11m2
4. 1LDK
4. 30.11m2
5. 1LDK
5. 27.73m2
6. 1LDK
6. 27.42m2
7. 1LDK
7. 27.73m2
8. 1LDK
8. 27.42m2
9. 1LDK
9. 30.11m2
10. 1LDK
10. 30.11m2
11. 1LDK
11. 27.42m2
12. 1LDK
12. 30.11m2
13. 1LDK
13. 30.11m2
14. 1LDK
14. 30.11m2
15. 1LDK
15. 30.11m2
16. 1LDK
16. 33.91m2
17. 1LDK
17. 32.6m2
18. 1LDK
18. 33.91m2
19. 1LDK
19. 32.6m2
20. 1LDK
20. 31.9m2
21. 1LDK
21. 33.91m2
22. 1LDK
22. 32.6m2
23. 1LDK
23. 33.91m2
24. 1LDK
24. 32.6m2
25. 1LDK
25. 31.9m2
26. 1LDK
26. 31.9m2
"
アプリーレ手賀屋,千葉県柏市旭町２,"ＪＲ常磐線/柏駅 歩5分
東武野田線/柏駅 歩5分
ＪＲ常磐線/南柏駅 歩29分
","
築10年
8階建
","
											5階","1. 賃料: 7.8万円
1. 管理費: 6000円
","1. 敷金: 7.8万円
1. 礼金: -
","1. ワンルーム
1. 30.3m2
"
ＪＲ常磐線 柏駅 3階建 築6年,千葉県柏市あけぼの２,"ＪＲ常磐線/柏駅 歩7分
ＪＲ常磐線/北柏駅 歩27分
ＪＲ常磐線/南柏駅 歩43分
","
築6年
3階建
","
											1階","1. 賃料: 6.3万円
1. 管理費: 4000円
","1. 敷金: -
1. 礼金: 6.3万円
","1. 1K
1. 26.08m2
"
ＪＲ常磐線 柏駅 2階建 築6年,千葉県柏市あけぼの４,"ＪＲ常磐線/柏駅 歩7分
東武野田線/柏駅 歩7分
ＪＲ常磐線/北柏駅 歩27分
","
築6年
2階建
","
											2階","1. 賃料: 6.8万円
1. 管理費: -
2. 賃料: 6.8万円
2. 管理費: 3円
3. 賃料: 6.9万円
3. 管理費: -
4. 賃料: 7万円
4. 管理費: -
5. 賃料: 7万円
5. 管理費: 3000円
","1. 敷金: -
1. 礼金: -
2. 敷金: -
2. 礼金: -
3. 敷金: -
3. 礼金: -
4. 敷金: -
4. 礼金: -
5. 敷金: -
5. 礼金: -
","1. 1DK
1. 28.98m2
2. 1DK
2. 28.98m2
3. 1DK
3. 26.91m2
4. 1DK
4. 26.91m2
5. 1DK
5. 26.91m2
"
アーク柏レジデンス,千葉県柏市柏,"ＪＲ常磐線/柏駅 歩6分
つくばエクスプレス/柏の葉キャンパス駅 車15分(5.5km)
ＪＲ常磐線/新松戸駅 車25分(8.4km)
","
築9年
8階建
","
											8階","1. 賃料: 15万円
1. 管理費: 5000円
","1. 敷金: 15万円
1. 礼金: 15万円
","1. 2LDK
1. 64.51m2
"
ＪＲ常磐線 柏駅 2階建 築4年,千葉県柏市あけぼの３,"ＪＲ常磐線/柏駅 歩10分
東武野田線/柏駅 歩10分
ＪＲ常磐線/北柏駅 歩20分
","
築4年
2階建
","
											1階","1. 賃料: 7.8万円
1. 管理費: 3000円
","1. 敷金: -
1. 礼金: 7.8万円
","1. 1LDK
1. 38.87m2
"
ＪＲ常磐線 柏駅 2階建 築4年,千葉県柏市あけぼの３,"ＪＲ常磐線/柏駅 歩10分
東武野田線/柏駅 歩10分
ＪＲ常磐線/北柏駅 歩24分
","
築4年
2階建
","
											1階","1. 賃料: 7.8万円
1. 管理費: 3000円
","1. 敷金: -
1. 礼金: 7.8万円
","1. 1LDK
1. 38.87m2
"
Ｒｅｖｅ,千葉県柏市柏３,"ＪＲ常磐線/柏駅 歩9分
ＪＲ常磐線/北柏駅 歩27分
東武野田線/新柏駅 歩40分
","
築4年
7階建
","
											7階","1. 賃料: 7.5万円
1. 管理費: 5000円
2. 賃料: 8万円
2. 管理費: 5000円
3. 賃料: 8.3万円
3. 管理費: 5000円
","1. 敷金: 7.5万円
1. 礼金: 7.5万円
2. 敷金: 8万円
2. 礼金: 8万円
3. 敷金: 8.3万円
3. 礼金: 8.3万円
","1. 1K
1. 26.04m2
2. 1K
2. 26.04m2
3. 1K
3. 26.04m2
"
ＪＲ常磐線 柏駅 3階建 築6年,千葉県柏市あけぼの１,"ＪＲ常磐線/柏駅 歩5分
ＪＲ常磐線/北柏駅 歩30分
None
","
築6年
3階建
","
											2階","1. 賃料: 6.2万円
1. 管理費: 5000円
2. 賃料: 6.4万円
2. 管理費: 5000円
","1. 敷金: -
1. 礼金: -
2. 敷金: -
2. 礼金: -
","1. 1K
1. 23.17m2
2. 1K
2. 22.02m2
"
ＧＲＡＮＡＤＡ,千葉県柏市あけぼの１,"ＪＲ常磐線/柏駅 歩5分
ＪＲ常磐線/南柏駅 歩37分
つくばエクスプレス/柏の葉キャンパス駅 歩50分
","
築6年
3階建
","
											2階","1. 賃料: 6.2万円
1. 管理費: 5000円
2. 賃料: 6.4万円
2. 管理費: 5000円
","1. 敷金: -
1. 礼金: -
2. 敷金: -
2. 礼金: -
","1. 1K
1. 23.17m2
2. 1K
2. 22.02m2
"
プレミアス柏,千葉県柏市柏３,"ＪＲ常磐線/柏駅 歩5分
東武野田線/柏駅 歩5分
None
","
築9年
3階建
","
											2階","1. 賃料: 10万円
1. 管理費: 4000円
","1. 敷金: 10万円
1. 礼金: 15万円
","1. 1LDK
1. 45.3m2
"
リブリ・柏中央,千葉県柏市柏３,"ＪＲ常磐線/柏駅 歩5分
東武野田線/柏駅 歩5分
ＪＲ常磐線/北柏駅 歩32分
","
築8年
6階建
","
											5階","1. 賃料: 7.1万円
1. 管理費: 4000円
","1. 敷金: -
1. 礼金: 7.1万円
","1. 1K
1. 26.46m2
"
RINOWA,千葉県柏市あけぼの２,"ＪＲ常磐線/柏駅 歩10分
ＪＲ常磐線/北柏駅 バス4分 (バス停)あけぼの町 歩5分
つくばエクスプレス/柏の葉キャンパス駅 バス22分 (バス停)柏第一小学校前 歩5分
","
築2年
3階建
","
											1階","1. 賃料: 6.2万円
1. 管理費: 3000円
","1. 敷金: 6.2万円
1. 礼金: -
","1. 1K
1. 25.87m2
"
